task_id,dataset_name,target_name,n_samples,n_features,missing_data,categorical_features,fold_id,regressor_name,time_on_fold,R2,MSE,RMSE
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,3.0,PySRRegressor_default,131.065345287323,0.0481158928134254,0.9995240402303256,0.9997619917912092
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,3.0,PySRRegressor_validation,131.065345287323,0.0357526483666338,1.0125060408189646,1.0062335915775047
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,4.0,PySRRegressor_default,132.9578070640564,0.0881978012357413,0.5077867778252174,0.7125915925866775
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,4.0,PySRRegressor_validation,132.9578070640564,0.1346438380711759,0.4819207693648513,0.6942051349312042
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,5.0,PySRRegressor_default,130.36194229125977,0.1592846174099477,0.5081448552295537,0.7128427983991658
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,5.0,PySRRegressor_validation,130.36194229125977,0.1849983481512389,0.4926029723812931,0.7018568033304893
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,6.0,PySRRegressor_default,124.876877784729,0.061113315854739,0.3863841249099045,0.6215980412693596
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,6.0,PySRRegressor_validation,124.876877784729,0.1327349395485294,0.3569093662804912,0.597418920256541
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,7.0,PySRRegressor_default,130.90394139289856,0.0402900817699561,0.5805578777331442,0.7619434872306109
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,7.0,PySRRegressor_validation,130.90394139289856,0.0903427645688876,0.5502794792831319,0.741808249673143
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,8.0,PySRRegressor_default,134.6478841304779,0.1240503785604451,0.5600589249218372,0.7483708471886362
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,8.0,PySRRegressor_validation,134.6478841304779,-0.154125488384262,0.7379171865924296,0.8590210629503968
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,9.0,PySRRegressor_default,128.54668188095093,0.0932048657691344,0.6625027818530771,0.8139427386819524
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,9.0,PySRRegressor_validation,128.54668188095093,0.1284299628515188,0.6367673936411429,0.7979770633552965
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,0.0,PySRRegressor_default,146.819477558136,0.7245978397924275,177.65725236812125,13.32881286417216
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,0.0,PySRRegressor_validation,146.819477558136,0.7810675914369468,141.22957543372783,11.884005024979071
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,1.0,PySRRegressor_default,138.5081889629364,0.8284531296491471,166.49582369829963,12.903326071145363
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,1.0,PySRRegressor_validation,138.5081889629364,0.8537592813696899,141.93478934816196,11.913638795437857
